GuiseLanguage,GuiseGender,Participant,ListenerGender,Trustworthy,Friendly,Agreeable,Wealthy,Educated,Local,Urban,Feminine_voice,Language_mastery,Pleasant_voice,Refined_accent
Genoese,Female,s1,Male,3,3,3,4,3,7,5,7,5,5,3
Genoese,Female,s2,Male,5,5,6,4,1,4,4,4,5,4,4
Genoese,Female,s3,Male,4,5,5,4,4,7,2,7,4,5,4
Genoese,Female,s4,Female,5,4,4,5,5,5,5,7,4,4,5
Genoese,Female,s5,Female,6,3,3,4,6,6,4,7,6,6,7
Genoese,Female,s6,Male,4,4,6,5,4,7,4,7,7,5,5
Genoese,Female,s7,Female,2,2,4,6,6,6,7,7,1,2,2
Genoese,Female,s8,Male,4,2,1,4,7,2,6,7,3,2,4
Genoese,Female,s9,Male,3,4,3,3,5,5,3,6,6,2,5
Genoese,Female,s10,Male,5,3,7,3,7,3,6,7,6,1,7
Genoese,Female,s11,Male,6,6,6,4,5,6,4,6,6,6,7
Genoese,Female,s12,Female,2,4,1,4,4,2,7,7,1,1,3
Genoese,Female,s13,Male,3,4,3,4,3,7,3,5,6,3,5
Genoese,Female,s14,Female,4,4,4,4,6,3,4,7,3,4,6
Genoese,Female,s15,Male,4,4,5,4,4,3,4,7,3,4,2
Genoese,Female,s16,Male,6,2,4,1,6,5,5,5,3,3,5
Genoese,Female,s17,Female,1,6,7,7,2,7,2,6,7,7,7
Genoese,Female,s18,Female,5,5,4,3,5,6,5,7,6,4,4
Genoese,Female,s19,Male,2,4,5,4,6,6,4,7,2,2,1
Genoese,Female,s20,Male,6,6,5,4,6,6,3,7,6,6,5
Genoese,Female,s21,Male,5,2,4,3,4,7,3,7,6,4,1
Genoese,Female,s22,Male,7,7,7,4,7,7,7,7,7,7,7
Genoese,Female,s23,Male,7,5,7,3,3,7,1,7,7,3,2
Genoese,Female,s24,Male,7,6,6,6,7,2,6,7,6,6,6
Genoese,Female,s25,Male,1,1,6,4,2,7,1,7,7,2,2
Genoese,Female,s26,Female,5,2,4,4,7,7,1,7,7,3,2
Genoese,Female,s27,Male,6,5,5,5,6,3,3,6,4,7,6
Genoese,Female,s28,Female,6,2,4,2,3,7,1,7,5,3,3
Genoese,Female,s29,Female,1,4,4,3,7,4,7,7,5,4,4
Genoese,Female,s30,Female,5,5,4,4,5,4,4,7,4,4,5
Genoese,Female,s31,Female,5,5,4,4,5,5,4,7,4,5,6
Genoese,Female,s32,Male,6,5,6,6,6,6,3,6,5,6,3
Genoese,Female,s33,Female,4,4,4,3,4,6,3,7,3,2,2
Genoese,Female,s34,Female,7,6,6,2,1,7,2,6,2,6,2
Genoese,Female,s35,Female,3,5,3,3,5,1,3,7,3,7,7
Genoese,Female,s36,Female,5,7,5,7,7,7,7,7,4,4,4
Genoese,Female,s37,Female,4,3,4,4,7,7,4,7,7,7,1
Genoese,Female,s38,Female,7,7,7,4,4,7,6,7,5,7,6
Genoese,Female,s39,Male,5,5,4,4,4,7,5,7,5,6,5
Genoese,Female,s40,Female,3,4,4,4,4,2,4,7,4,5,4
Genoese,Female,s41,Male,4,1,5,6,5,7,1,7,6,2,3
Genoese,Female,s42,Female,5,6,6,4,5,7,7,7,6,7,5
Genoese,Female,s43,Female,5,5,6,4,3,3,5,7,3,5,5
Genoese,Female,s44,Male,4,4,7,4,4,5,6,7,2,5,2
Genoese,Female,s45,Female,4,4,4,4,7,7,4,7,7,5,4
Genoese,Female,s46,Female,6,5,6,5,7,6,7,7,5,6,5
Genoese,Female,s47,Female,4,4,4,4,6,7,4,7,7,5,6
Genoese,Female,s48,Female,5,4,6,4,4,7,3,7,7,7,5
Genoese,Female,s49,Female,4,5,5,4,7,3,7,7,3,4,4
Genoese,Female,s50,Female,4,1,1,7,6,5,7,7,7,1,6
Genoese,Female,s51,Male,7,7,6,6,7,7,7,7,7,7,7
Genoese,Female,s52,Female,7,5,6,4,6,7,6,7,7,7,7
Genoese,Female,s53,Female,6,6,4,6,6,2,7,7,3,1,4
Genoese,Female,s54,Female,2,4,4,4,6,2,7,7,2,4,1
Genoese,Female,s55,Male,4,4,3,4,7,1,4,7,3,5,3
Genoese,Female,s56,Female,1,4,2,4,4,1,7,7,2,2,4
Genoese,Female,s57,Female,5,4,4,4,7,1,6,7,2,2,2
Genoese,Female,s58,Male,5,6,5,4,6,1,2,7,6,6,5
Genoese,Female,s59,Female,4,4,4,4,4,5,4,7,5,5,5
Genoese,Female,s60,Male,4,4,5,4,3,7,1,7,3,6,3
Genoese,Female,s61,Male,7,6,7,4,7,4,4,7,3,6,5
Genoese,Female,s62,Male,6,6,7,4,5,6,2,7,6,6,6
Genoese,Female,s63,Male,7,6,6,5,6,7,2,7,6,7,7
Genoese,Female,s64,Male,7,6,7,7,7,7,7,7,7,7,7
Genoese,Female,s65,Male,4,4,5,4,6,1,2,7,6,5,4
Italian,Female,s1,Male,5,5,5,4,5,6,5,7,7,6,6
Italian,Female,s2,Male,7,7,7,3,7,7,4,7,7,7,7
Italian,Female,s3,Male,4,5,5,4,4,3,5,7,5,5,3
Italian,Female,s4,Female,4,3,3,5,6,4,6,7,6,3,4
Italian,Female,s5,Female,6,4,4,4,6,4,6,7,7,7,7
Italian,Female,s6,Male,3,3,6,4,7,4,7,7,7,6,7
Italian,Female,s7,Female,6,4,6,5,7,1,7,7,6,6,6
Italian,Female,s8,Male,4,3,2,4,6,4,5,7,7,3,6
Italian,Female,s9,Male,2,5,2,5,1,2,5,6,5,2,2
Italian,Female,s10,Male,7,5,7,7,7,1,7,7,7,7,7
Italian,Female,s11,Male,5,5,6,4,5,6,1,6,5,6,6
Italian,Female,s12,Female,7,4,7,4,7,4,7,7,7,6,7
Italian,Female,s13,Male,3,4,4,5,7,6,6,6,6,3,5
Italian,Female,s14,Female,4,4,4,4,5,4,4,7,6,5,7
Italian,Female,s15,Male,4,4,5,4,4,3,3,7,4,3,4
Italian,Female,s16,Male,4,6,2,6,3,2,3,5,2,3,6
Italian,Female,s17,Female,6,6,7,7,6,5,7,7,7,7,7
Italian,Female,s18,Female,5,5,5,6,7,2,7,7,7,7,7
Italian,Female,s19,Male,7,6,7,6,7,5,7,7,7,7,7
Italian,Female,s20,Male,6,5,5,4,6,3,6,7,6,5,5
Italian,Female,s21,Male,6,5,5,6,6,2,7,7,7,5,7
Italian,Female,s22,Male,7,7,7,7,7,1,7,7,7,7,7
Italian,Female,s23,Male,7,7,7,7,7,1,7,7,7,5,7
Italian,Female,s24,Male,7,7,6,6,7,4,7,7,7,7,7
Italian,Female,s25,Male,7,7,7,4,7,5,7,7,6,6,7
Italian,Female,s26,Female,7,6,7,7,7,1,7,7,7,7,7
Italian,Female,s27,Male,5,5,5,6,6,3,6,7,4,6,4
Italian,Female,s28,Female,7,7,7,7,7,1,7,7,7,7,7
Italian,Female,s29,Female,1,1,1,3,7,1,7,7,7,7,7
Italian,Female,s30,Female,6,5,5,6,6,4,6,7,6,6,7
Italian,Female,s31,Female,6,3,5,5,6,4,6,7,6,6,6
Italian,Female,s32,Male,5,5,6,6,5,6,4,6,6,6,6
Italian,Female,s33,Female,6,6,5,6,6,6,6,7,7,7,7
Italian,Female,s34,Female,7,6,7,1,1,5,1,7,1,7,1
Italian,Female,s35,Female,3,6,7,4,4,2,5,7,3,7,6
Italian,Female,s36,Female,7,7,4,4,7,1,7,7,5,7,5
Italian,Female,s37,Female,3,3,3,4,3,7,7,7,7,5,3
Italian,Female,s38,Female,7,7,7,7,7,1,7,7,7,7,7
Italian,Female,s39,Male,5,5,4,4,4,5,5,7,6,6,6
Italian,Female,s40,Female,4,4,4,4,3,4,4,7,7,6,7
Italian,Female,s41,Male,2,2,2,6,3,7,3,7,5,1,2
Italian,Female,s42,Female,7,6,6,7,7,6,3,7,7,7,6
Italian,Female,s43,Female,3,3,3,7,5,1,7,7,7,6,7
Italian,Female,s44,Male,7,6,7,4,7,2,7,7,6,6,4
Italian,Female,s45,Female,7,5,7,4,7,4,4,7,7,7,4
Italian,Female,s46,Female,6,6,6,5,7,5,7,7,7,7,7
Italian,Female,s47,Female,4,4,4,4,6,1,7,7,7,6,4
Italian,Female,s48,Female,4,4,5,4,5,4,4,7,7,7,4
Italian,Female,s49,Female,5,3,2,4,7,3,7,7,6,7,4
Italian,Female,s50,Female,3,2,1,6,4,2,7,7,6,1,4
Italian,Female,s51,Male,7,5,7,2,7,1,7,7,7,7,6
Italian,Female,s52,Female,6,5,6,4,7,4,7,7,7,7,7
Italian,Female,s53,Female,7,7,7,6,6,1,7,7,7,7,7
Italian,Female,s54,Female,7,5,5,5,7,1,7,7,7,6,6
Italian,Female,s55,Male,6,2,7,4,7,4,4,7,7,7,7
Italian,Female,s56,Female,7,2,4,5,7,1,7,7,7,4,7
Italian,Female,s57,Female,7,5,5,4,4,1,4,7,7,7,7
Italian,Female,s58,Male,6,5,6,4,5,1,7,7,6,7,6
Italian,Female,s59,Female,4,4,4,4,4,4,4,7,5,6,6
Italian,Female,s60,Male,4,4,5,4,3,3,5,7,3,5,3
Italian,Female,s61,Male,6,4,7,6,7,4,7,7,7,7,7
Italian,Female,s62,Male,7,7,7,5,7,3,7,7,7,6,6
Italian,Female,s63,Male,7,7,6,4,6,6,3,7,7,7,6
Italian,Female,s64,Male,7,7,6,7,7,7,7,7,7,7,7
Italian,Female,s65,Male,4,5,5,4,6,3,6,7,6,7,6
Italian,Male,s1,Male,4,4,4,4,4,5,5,1,5,3,3
Italian,Male,s2,Male,7,7,7,6,6,1,6,1,7,7,6
Italian,Male,s3,Male,4,5,4,4,4,7,4,1,4,4,4
Italian,Male,s4,Female,6,6,5,6,6,5,6,1,6,6,6
Italian,Male,s5,Female,6,4,2,4,6,7,4,1,7,7,6
Italian,Male,s6,Male,6,3,3,4,7,6,4,1,4,3,5
Italian,Male,s7,Female,7,6,6,6,6,4,6,1,6,5,5
Italian,Male,s8,Male,4,6,4,4,4,7,3,1,7,6,6
Italian,Male,s9,Male,6,2,6,3,2,6,2,1,6,6,2
Italian,Male,s10,Male,7,2,3,3,7,7,3,1,7,1,6
Italian,Male,s11,Male,7,7,6,5,4,3,3,1,6,7,4
Italian,Male,s12,Female,7,4,5,4,7,6,7,1,7,1,5
Italian,Male,s13,Male,4,4,4,4,3,4,3,3,5,4,5
Italian,Male,s14,Female,4,4,5,4,3,5,4,1,3,4,4
Italian,Male,s15,Male,4,4,5,4,5,5,3,1,4,6,6
Italian,Male,s16,Male,3,6,7,4,6,6,2,4,6,7,4
Italian,Male,s17,Female,4,1,1,5,7,7,1,1,7,1,1
Italian,Male,s18,Female,7,4,6,4,4,6,2,1,7,7,4
Italian,Male,s19,Male,7,7,7,4,7,7,4,1,7,7,7
Italian,Male,s20,Male,5,6,6,5,5,6,3,1,6,5,4
Italian,Male,s21,Male,6,5,7,4,6,7,3,1,7,7,7
Italian,Male,s22,Male,4,5,5,4,5,2,3,1,7,2,4
Italian,Male,s23,Male,7,7,1,7,3,7,1,1,7,7,7
Italian,Male,s24,Male,6,6,7,5,5,6,2,1,7,7,6
Italian,Male,s25,Male,7,6,5,4,7,7,3,1,7,7,7
Italian,Male,s26,Female,7,4,5,7,7,7,7,1,7,7,7
Italian,Male,s27,Male,5,3,5,5,6,6,2,2,6,5,4
Italian,Male,s28,Female,7,5,5,4,1,7,5,1,5,7,1
Italian,Male,s29,Female,7,4,7,7,7,6,7,1,7,7,3
Italian,Male,s30,Female,5,1,2,6,6,7,6,1,6,4,4
Italian,Male,s31,Female,5,3,4,5,5,5,5,1,5,5,2
Italian,Male,s32,Male,4,4,5,4,6,3,4,1,5,6,4
Italian,Male,s33,Female,3,4,3,4,5,6,3,1,5,2,3
Italian,Male,s34,Female,6,6,6,3,3,6,2,7,2,6,2
Italian,Male,s35,Female,5,3,5,4,6,6,2,1,6,3,3
Italian,Male,s36,Female,3,4,3,4,4,4,4,4,4,4,4
Italian,Male,s37,Female,7,2,7,4,7,5,7,1,6,7,7
Italian,Male,s38,Female,7,1,7,7,7,7,7,1,4,7,7
Italian,Male,s39,Male,5,5,4,4,4,6,4,1,2,5,5
Italian,Male,s40,Female,5,4,5,4,4,7,4,1,3,3,3
Italian,Male,s41,Male,5,1,2,5,3,4,2,1,2,3,7
Italian,Male,s42,Female,6,6,6,4,6,7,7,1,7,7,7
Italian,Male,s43,Female,7,4,6,7,3,2,7,1,7,6,6
Italian,Male,s44,Male,4,4,7,4,7,7,7,1,2,5,4
Italian,Male,s45,Female,4,4,4,4,3,7,4,1,7,4,4
Italian,Male,s46,Female,5,4,7,4,3,7,2,1,2,3,2
Italian,Male,s47,Female,4,4,4,4,3,5,7,1,5,3,5
Italian,Male,s48,Female,5,5,7,4,6,7,4,1,7,7,6
Italian,Male,s49,Female,5,4,4,4,5,3,6,1,6,5,6
Italian,Male,s50,Female,5,4,6,5,5,7,3,1,5,5,1
Italian,Male,s51,Male,6,6,6,4,6,6,2,1,7,6,4
Italian,Male,s52,Female,6,5,6,4,6,7,6,1,7,7,6
Italian,Male,s53,Female,7,7,7,4,7,7,2,1,7,7,7
Italian,Male,s54,Female,7,4,4,6,7,7,5,1,7,6,5
Italian,Male,s55,Male,7,5,7,4,7,7,3,1,6,6,5
Italian,Male,s56,Female,7,4,4,7,1,1,7,1,1,5,4
Italian,Male,s57,Female,6,4,6,4,6,2,4,1,7,7,3
Italian,Male,s58,Male,6,4,2,7,2,4,7,1,7,6,3
Italian,Male,s59,Female,4,4,4,4,4,6,4,1,5,3,3
Italian,Male,s60,Male,4,4,4,4,3,1,4,5,4,4,1
Italian,Male,s61,Male,7,6,6,4,7,4,5,1,7,5,4
Italian,Male,s62,Male,7,6,6,6,6,7,3,1,7,6,6
Italian,Male,s63,Male,3,6,6,3,4,6,3,1,3,4,3
Italian,Male,s64,Male,7,6,6,6,7,7,6,1,7,7,7
Italian,Male,s65,Male,7,6,6,4,7,4,4,1,7,7,7
Genoese,Male,s1,Male,5,3,4,4,6,7,2,1,6,4,3
Genoese,Male,s2,Male,7,6,5,2,7,7,4,1,6,7,2
Genoese,Male,s3,Male,4,5,5,4,4,7,6,1,5,5,4
Genoese,Male,s4,Female,6,6,6,4,6,7,6,1,6,7,1
Genoese,Male,s5,Female,6,4,6,4,5,7,3,1,7,7,7
Genoese,Male,s6,Male,4,2,6,4,4,7,5,1,6,4,2
Genoese,Male,s7,Female,7,6,6,6,6,7,7,1,7,7,7
Genoese,Male,s8,Male,5,4,4,4,5,6,6,1,6,4,3
Genoese,Male,s9,Male,6,2,6,5,6,7,6,1,7,1,2
Genoese,Male,s10,Male,7,7,7,2,1,7,7,1,3,1,7
Genoese,Male,s11,Male,5,6,5,4,4,4,4,1,4,5,3
Genoese,Male,s12,Female,4,4,3,4,7,7,2,1,7,5,3
Genoese,Male,s13,Male,6,4,4,4,6,7,4,1,7,4,5
Genoese,Male,s14,Female,4,4,4,4,3,5,4,1,5,6,3
Genoese,Male,s15,Male,5,4,5,4,5,6,6,1,6,3,2
Genoese,Male,s16,Male,2,2,3,1,3,4,4,4,3,7,2
Genoese,Male,s17,Female,4,1,1,4,4,7,4,4,7,4,4
Genoese,Male,s18,Female,7,4,6,4,4,7,2,1,7,7,4
Genoese,Male,s19,Male,7,5,7,4,7,7,7,1,7,7,7
Genoese,Male,s20,Male,3,5,6,4,6,7,5,1,6,6,3
Genoese,Male,s21,Male,5,6,6,5,6,7,2,1,7,7,6
Genoese,Male,s22,Male,7,6,7,4,6,7,1,1,7,7,7
Genoese,Male,s23,Male,7,7,7,4,7,7,1,1,7,7,7
Genoese,Male,s24,Male,6,6,6,3,5,6,6,1,6,6,3
Genoese,Male,s25,Male,7,6,5,4,7,7,2,1,7,6,3
Genoese,Male,s26,Female,7,2,7,4,6,7,7,1,7,6,5
Genoese,Male,s27,Male,6,5,5,4,6,7,5,1,6,5,4
Genoese,Male,s28,Female,5,2,3,4,3,7,1,1,7,6,3
Genoese,Male,s29,Female,5,5,4,5,5,7,7,1,7,4,4
Genoese,Male,s30,Female,5,3,3,3,5,5,5,1,5,4,5
Genoese,Male,s31,Female,6,2,3,3,6,6,3,1,6,4,6
Genoese,Male,s32,Male,6,6,6,4,6,7,2,1,7,7,7
Genoese,Male,s33,Female,4,3,2,4,2,7,6,1,2,1,7
Genoese,Male,s34,Female,6,4,5,6,3,7,6,7,2,6,5
Genoese,Male,s35,Female,6,4,3,3,7,5,2,1,6,6,4
Genoese,Male,s36,Female,2,1,1,4,1,1,4,1,4,1,1
Genoese,Male,s37,Female,2,4,4,4,3,7,3,1,7,7,7
Genoese,Male,s38,Female,7,7,7,6,7,7,7,1,7,7,7
Genoese,Male,s39,Male,5,5,4,4,4,7,3,1,5,5,3
Genoese,Male,s40,Female,6,4,4,4,4,7,4,1,4,6,3
Genoese,Male,s41,Male,1,1,1,3,1,7,7,1,6,1,7
Genoese,Male,s42,Female,6,6,7,4,6,7,3,1,7,7,6
Genoese,Male,s43,Female,4,5,6,4,1,7,1,1,7,7,6
Genoese,Male,s44,Male,4,4,7,4,7,7,1,1,1,6,4
Genoese,Male,s45,Female,7,5,4,4,7,7,4,1,7,7,4
Genoese,Male,s46,Female,6,4,6,6,7,7,7,1,7,7,7
Genoese,Male,s47,Female,4,4,4,4,5,7,1,1,4,4,4
Genoese,Male,s48,Female,4,4,6,4,6,7,4,1,7,7,6
Genoese,Male,s49,Female,7,7,3,4,4,7,3,1,7,7,5
Genoese,Male,s50,Female,6,5,6,3,5,7,6,1,6,6,2
Genoese,Male,s51,Male,7,6,7,4,2,7,6,1,7,6,6
Genoese,Male,s52,Female,4,4,5,4,6,7,6,1,7,7,6
Genoese,Male,s53,Female,7,7,7,4,4,7,2,1,7,7,2
Genoese,Male,s54,Female,6,4,6,1,6,7,2,1,6,6,1
Genoese,Male,s55,Male,6,7,7,4,7,7,2,1,7,7,6
Genoese,Male,s56,Female,4,4,7,4,7,7,1,1,7,6,4
Genoese,Male,s57,Female,4,2,2,6,7,7,2,1,7,7,7
Genoese,Male,s58,Male,6,4,5,6,3,6,6,1,5,7,4
Genoese,Male,s59,Female,4,4,4,4,4,6,4,1,5,3,5
Genoese,Male,s60,Male,4,4,4,4,3,7,7,3,3,5,5
Genoese,Male,s61,Male,6,6,7,4,7,1,4,1,6,7,1
Genoese,Male,s62,Male,6,6,7,4,5,2,2,1,3,3,6
Genoese,Male,s63,Male,6,6,5,5,4,7,3,1,7,6,7
Genoese,Male,s64,Male,6,5,6,4,6,7,1,1,7,6,4
Genoese,Male,s65,Male,6,5,6,4,6,1,2,1,7,6,6
